Questions,Question Number,Variable_Names
"After completing STA130, how good are you at using simulation to solve a variety of problems with data?",21,how_good_at_after_STA130_using_simulation
"After completing STA130, how good are you at manipulating and 'wrangling' data?",21,how_good_at_after_STA130_manipulating_data
"After completing STA130, how good are you at using Python for data analysis?",21,how_good_at_after_STA130_using_python
"After completing STA130, how good are you at communicating in writing to both statisticians and non-statisticians?",21,how_good_at_after_STA130_writing_for_statisticians
"After completing STA130, how good are you at communicating orally to both statisticians and non-statisticians?",21,how_good_at_after_STA130_speaking_for_statisticians
"After completing STA130, how good are you at translating practical problems into statistical terms and vice versa?",21,how_good_at_after_STA130_translating_statistical_problems
"After completing STA130, how good are you at describing how ethical practice is important in statistical work?",21,how_good_at_after_STA130_ethics_importance
"After completing STA130, how good are you at using statistical knowledge to solve problems in other disciplines?",21,how_good_at_after_STA130_solving_interdisciplinary_problems
"After completing STA130, how good are you at understanding statistical analysis as a problem-solving process (e.g., from study design through data exploration and analysis to communication of results)?",21,how_good_at_after_STA130_statistical_problem_solving
"After completing STA130, how good are you at evaluating strengths and limitations of solutions to statistical problems?",21,how_good_at_after_STA130_evaluating_solutions
What was the most interesting part of this course?,22,most_interesting_part_of_course
What would you add or what would you change about the course?,23,what_to_add_or_change_in_course
