ID,"pre_After reading the participant information on Quercus, please select one of the following:",pre_Are you a first-year student?,pre_Are you an international student?,pre_Is English your first language?,pre_Please tick all that apply. You are:,pre_What first-year calculus course have you taken or are you currently taking?,pre_Have you taken or are you taking a first-year programming course?,pre_In what statistics program of study have you enrolled or would you like to enrol in (select your first choice)?,pre_How would you describe your professional writing ability?,pre_What is your experience with programming?,pre_What is your experience with the Python programming language?,pre_How do you evaluate your skill level at Python programming?,"pre_How effectively do you feel you can perform statistical data analysis with Python?
",pre_Which of the following statements best describe your feelings about the use of Python for STA130? Select all that apply.,pre_Which of the following statements best describe your feelings about learning to code in Python in STA130? Select all that apply.,"pre_Which of the following statements best describes your feelings about learning to code in general? 
",pre_participation_indicator,post_Approximately how many total hours per week on average did you spend on STA130 this semester?,post_Approximately how many total hours per week on average did you spend completing STA130 assignments (not counting general studying or attending or reviewing class meetings)?,post_Which of the following did you routinely utilize and find helpful in supporting your ability to learn Python as part of STA130? (You may select more than one),"post_Which of the following did you find to be the MOST helpful and supportive in terms of performing well in STA130 overall? (You may select more than one)
","post_Which aspects of STA130 do you think were the LEAST helpful and supportive for student success in the class? (You may select more than one)
",post_How do you evaluate your skill level at Python programming?,post_How successful were you in learning Python this semester?,post_How much has your skill at Python programming increased since the beginning of the semester?,"post_Which of the following statements best describes your feelings about learning to code in general?
","post_Which of the following statements best describes your assessment of the amount of resources available in STA130 to support your ability to learn to code in Python?
",post_Has STA130 jump-started and fostered your ability to learn python?,"post_Is it helpful to have previous experience with computer programming or simultaneously take a computer programming course to do well in STA130?
",post_Did you enjoy learning statistical and data science concepts based on first introducing them through Python?,"post_Through your experience with the course project and other course (or non-course) activities, how effectively do you feel you can perform statistical data analysis with Python?",post_How much do you feel your skill at performing statistical data analysis with Python has improved since the beginning of the semester?,post_How strong is your sense of community and belonging here at UofT?,post_How strong is your sense of community and belonging in STA130?,post_How helpful has STA130 been in helping you develop a sense of community and belonging at UofT?,"post_What aspects of the STA130 course contributed to and supported developing a sense of community and belonging here at UofT? (You may select more than one)
",post_How would you describe your professional writing ability?,post_How helpful were the weekly writing assignments (in the Weekly Homeworks and Tutorial Activities and Assignments) for the development of your professional writing ability?,post_How helpful was the course project and related activities and assignments in giving you an opportunity to apply your communication skills?,"post_What aspects of the course contributed MOST to the development of your professional writing ability? (You may select more than one)
","post_Describe the purpose of statistical inference (for example, testing and confidence intervals)","post_Applying statistical methods for description, prediction and inference",post_Visualizing data,post_Use simulation to solve a variety of problems with data,"post_Manipulating and ""wrangling"" data",post_Using Python for data analysis,post_Communicating in writing to both statisticians and non-statisticians,post_Communicating orally to both statisticians and non-statisticians,post_Translating practical problems into statistical terms and vice versa,post_Describing how ethical practice is important in statistical work,post_Using statistical knowledge to solve problems in other disciplines,post_Understanding statistical analysis as a problem-solving process (i.e. from study design through data exploration and analysis through communication of results),post_Evaluating strengths and limitations of solutions to statistical problems,post_What was the most interesting part of this course?,post_What would you add or what would you change about the course?
107,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,"East Asian (e.g. Chinese, Korean, Japanese),;White;",MAT135 or MAT136,CSC108 (or equivalent programming experience),Statistics Major,Good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Somewhat ineffectively,I am glad we're using the same programming language as corequisite CSC courses ;,"I am concerned that I might not be able to learn to program in Python on my own;I am excited to be learning a practical skill that's greatly valued in industry;I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;",I need access to some guidance and support to help me as I start to learn to code,TRUE,Between 4 to 8 hours,Between 2 of 4 hours,"Self-Learning (using online resources, etc.);Classmates (RSGs, study-buddies, etc.);""Coding"" Office Hours;","""Coding"" Office Hours;",Weekly homework;Tutorial Assignments;,Beginner,Neither successful nor unsuccessful ,Moderately,I need access to some guidance and support to help me as I start to learn to code,"Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","Minimally, but STA130 was only somewhat helpful for learning Python",Somewhat helpful,"Sometimes, but sometimes I would have preferred course topics to be introduced without Python",Neither effectively nor ineffectively,Moderately,Neutral,Neutral,Slightly helpful,Friday In-Person Tutorials ;,Good,Slightly helpful,Slightly helpful,Tutorial Assignments;,Reasonably well,Neutral,Neutral,Reasonably well,Reasonably well,Reasonably well,Neutral,Neutral,Neutral,Reasonably well,Neutral,Neutral,Reasonably well,Career exploration workshops,More support for beginner Python learners in lecture; sometimes difficult to follow along with professor's code
108,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT157,CSC110,Data Science Specialist,Adequate,I have used a programming language in a class or some other context for more than two years,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Intermediate,Somewhat effectively,"I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;I am language agnostic, and don't really care which programming language we use;I am disappointed we are not learning the R programming language instead of Python;I am concerned that since many statistics courses use R rather than Python, using Python might not be the best language choice for this course;","I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;","I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 8 to 12 hours,More than 6 hours,"Corequisite CSC Requirements;Monday In-Person Class Lectures;Monday Class Coding Notebooks;""General"" Office Hours;""Piazza"" Discussion Board;Weekly homework;Friday In-Person Tutorials ;Friday Tutorial Presentation Notebooks;Tutorial Activities;Tutorial Assignments;The Course Project;Classmates (RSGs, study-buddies, etc.);Self-Learning (using online resources, etc.);","Corequisite CSC Requirements;Self-Learning (using online resources, etc.);""General"" Office Hours;""Piazza"" Discussion Board;",OCCS Class Lecture Recordings;,Expert,Somewhat successful ,Tremendously,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","Definitely, STA130 was very helpful for learning Python",Very helpful,"Yes, I liked having course topics introduced using Python",Very effectively,Substantially,Somewhat strong,Extremely strong,Very helpful,The STA130 Mentorship Program;,Very good,Moderately helpful,Extremely helpful,Tutorial Assignments;,Reasonably well,Reasonably well,Extremely well,Reasonably well,Reasonably well,Extremely well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Classification and linear regression,"more lectures lol, Prof Scott is very good at explaining everything "
109,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,"Southeast Asian (e.g. Malay, Vietnamese);",MAT137,CSC108 (or equivalent programming experience),Actuarial Science Major,Good,I have used a programming language in a class or some other context for somewhere between up to half of a year,Other,Beginner,Neither effectively nor ineffectively,"I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;I am concerned that since many statistics courses use R rather than Python, using Python might not be the best language choice for this course;","I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;I am excited to be learning a practical skill that's greatly valued in industry;I am concerned that I might not be able to learn to program in Python on my own;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;",I need access to some guidance and support to help me as I start to learn to code,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT135 or MAT136,CSC108 (or equivalent programming experience),Statistics Major,Excellent,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Somewhat effectively,I am glad we're using the same programming language as corequisite CSC courses ;,I am excited to be learning a practical skill that's greatly valued in industry;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Statistics Major,Good,I have used a programming language in a class or some other context for somewhere between one to two years,I have never used the Python programming language before this taking course,Beginner,Neither effectively nor ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 12 to 15 hours,Between 4 to 6 hours ,"Monday In-Person Class Lectures;Monday Class Coding Notebooks;Weekly homework;Friday In-Person Tutorials ;Tutorial Activities;Tutorial Assignments;The Course Project;Classmates (RSGs, study-buddies, etc.);Self-Learning (using online resources, etc.);Corequisite CSC Requirements;OCCS Class Lecture Recordings;Friday Tutorial Presentation Notebooks;","Monday In-Person Class Lectures;OCCS Class Lecture Recordings;Monday Class Coding Notebooks;Weekly homework;Friday In-Person Tutorials ;Tutorial Activities;Tutorial Assignments;The Course Project;Classmates (RSGs, study-buddies, etc.);Friday Tutorial Presentation Notebooks;",Corequisite CSC Requirements;,Intermediate,Very successful ,Substantially,"I can learn to code on my own, and plan to figure things out myself","Good, STA130 provides a reasonable amount of support for learning how to code in Python","Moderately, STA130 was fairly helpful for learning Python",Somewhat helpful,"Yes, I liked having course topics introduced using Python",Somewhat effectively,Substantially,Somewhat strong,Somewhat strong,Very helpful,"The STA130 Mentorship Program;Corequisite CSC Requirements;Monday In-Person Class Lectures;Friday In-Person Tutorials ;The Course Project;Classmates (RSGs, study-buddies, etc.);",Good,Moderately helpful,Moderately helpful,Tutorial Assignments;The Course Project;,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Neutral,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,I love the amount of variety with the contents in this course. I find every part of this couse interesting and every week provides a new experience with new content to explore.,"I love learning all the contents in this course, however, I geniunely think that the work load for this course is so much more substantial compared to my other courses."
112,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,Prefer not to answer;,MAT157,CSC108 (or equivalent programming experience),Data Science Specialist,Good,I have used a programming language in a class or some other context for somewhere between one to two years,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Intermediate,Somewhat ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,"I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;","I can learn to code on my own, and plan to figure things out myself",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Statistics Major,Good,I have used a programming language in a class or some other context for somewhere between up to half of a year,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Beginner,Somewhat effectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;,I need access to some guidance and support to help me as I start to learn to code,TRUE,Between 12 to 15 hours,Between 4 to 6 hours ,OCCS Class Lecture Recordings;Monday Class Coding Notebooks;,"Monday Class Coding Notebooks;Weekly homework;""Piazza"" Discussion Board;","""General"" Office Hours;OCCS Class Lecture Recordings;Tutorial Activities;",Intermediate,Somewhat unsuccessful,Moderately,I need access to some guidance and support to help me as I start to learn to code,"Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","Moderately, STA130 was fairly helpful for learning Python",Somewhat helpful,"Sometimes, but sometimes I would have preferred course topics to be introduced without Python",Somewhat effectively,Substantially,Neutral,Somewhat strong,Not at all helpful,"OCCS Class Lecture Recordings;Monday In-Person Class Lectures;""Piazza"" Discussion Board;Tutorial Assignments;",Adequate,Not at all helpful,Not at all helpful,"Monday Class Coding Notebooks;""Coding"" Office Hours;The Course Project;Tutorial Activities;",Neutral,Not at all,Extremely well,Not at all,Not very well,Reasonably well,Not very well,Reasonably well,Not very well,Not very well,Not at all,Reasonably well,Not very well,tut is the most interesting part.,No.
114,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Actuarial Science Major,Good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Somewhat effectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,I am concerned that I might not be able to learn to program in Python on my own;,"I would prefer to learn to code in a clear structured classroom format, as classes using coding should teach you how to code",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT135 or MAT136,CSC108 (or equivalent programming experience),Statistics Major,Good,I have used a programming language in a class or some other context for somewhere between half of a year to a whole year,"I have used the Python programming language before this taking course, and it is a primary programming language that I routinely use when programming",Beginner,Neither effectively nor ineffectively,I am glad we're using the same programming language as corequisite CSC courses ;I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,"I am excited to be learning a practical skill that's greatly valued in industry;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;I am concerned that I might not be able to learn to program in Python on my own;I am concerned that it will be very hard to learn Python;I am concerned that the course might not provide enough support to help me learn Python;","I would prefer to learn to code in a clear structured classroom format, as classes using coding should teach you how to code",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Statistics Major,Good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Somewhat effectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,I am excited to be learning a practical skill that's greatly valued in industry;,I need access to some guidance and support to help me as I start to learn to code,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Statistics Minor,Good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Somewhat ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,"I am concerned that it will be very hard to learn Python;I am concerned that I might not be able to learn to program in Python on my own;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;","I would prefer to learn to code in a clear structured classroom format, as classes using coding should teach you how to code",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT135 or MAT136,None of the above,Statistics Minor,Adequate,I have never used any programming language before this taking course,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Beginner,Somewhat effectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,I am concerned that it will be very hard to learn Python;,I need access to some guidance and support to help me as I start to learn to code,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC148,Statistics Major,Good,I have used a programming language in a class or some other context for somewhere between one to two years,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Intermediate,Somewhat ineffectively,"I am concerned that since many statistics courses use R rather than Python, using Python might not be the best language choice for this course;",I am excited to be learning a practical skill that's greatly valued in industry;,"I would prefer to learn to code in a clear structured classroom format, as classes using coding should teach you how to code",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC110,Statistics Major,Good,I have used a programming language in a class or some other context for more than two years,"I have used the Python programming language before this taking course, and it is a primary programming language that I routinely use when programming",Advanced,Somewhat effectively,"I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;I am language agnostic, and don't really care which programming language we use;",I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;,"I can learn to code on my own, and plan to figure things out myself",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Statistics Major,Good,I have used a programming language in a class or some other context for somewhere between up to half of a year,I have never used the Python programming language before this taking course,Beginner,Somewhat ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,"I am concerned that I might not be able to learn to program in Python on my own;I am concerned that it will be very hard to learn Python;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;",I need access to some guidance and support to help me as I start to learn to code,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"South Asian (e.g. East Indian, Pakistani, Sri Lankan);",MAT135 or MAT136,CSC108 (or equivalent programming experience),Statistics Minor,Good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Very ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;,"I would prefer to learn to code in a clear structured classroom format, as classes using coding should teach you how to code",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Data Science Specialist,Excellent,I have used a programming language in a class or some other context for somewhere between one to two years,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Advanced,Neither effectively nor ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT135 or MAT136,CSC108 (or equivalent programming experience),Statistics Minor,Good,I have used a programming language in a class or some other context for somewhere between half of a year to a whole year,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Intermediate,Neither effectively nor ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 12 to 15 hours,More than 6 hours,Monday Class Coding Notebooks;Monday In-Person Class Lectures;Tutorial Assignments;,"""Coding"" Office Hours;Classmates (RSGs, study-buddies, etc.);",Friday Tutorial Presentation Notebooks;The Course Project;,Beginner,Somewhat successful ,Moderately,I need access to some guidance and support to help me as I start to learn to code,"Minimal, I only sometimes was able to use STA130 resources to help myself learn to code in Python","Moderately, STA130 was fairly helpful for learning Python","Not applicable, I was not enrolled in CSC corequisites so I can't judge",It didn't really seem to matter to me that course topics were introduced with Python,Somewhat ineffectively,Moderately,Somewhat strong,Somewhat strong,Extremely helpful,"Monday Class Coding Notebooks;Classmates (RSGs, study-buddies, etc.);",Very good,Very helpful,Moderately helpful,Monday In-Person Class Lectures;Friday In-Person Tutorials ;,Reasonably well,Reasonably well,Neutral,Reasonably well,Neutral,Extremely well,Reasonably well,Reasonably well,Reasonably well,Extremely well,Reasonably well,Neutral,Reasonably well,Coding,Go slower for each concept
125,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Statistics Major,Adequate,I have used a programming language in a class or some other context for somewhere between up to half of a year,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Intermediate,Somewhat effectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,I am excited to be learning a practical skill that's greatly valued in industry;,"I can learn to code on my own, and plan to figure things out myself",TRUE,Between 8 to 12 hours,Between 2 of 4 hours,"Tutorial Activities;Tutorial Assignments;The Course Project;Classmates (RSGs, study-buddies, etc.);Self-Learning (using online resources, etc.);Weekly homework;""Piazza"" Discussion Board;","Tutorial Activities;Tutorial Assignments;The Course Project;Self-Learning (using online resources, etc.);Classmates (RSGs, study-buddies, etc.);Weekly homework;","""Piazza"" Discussion Board;",Intermediate,Neither successful nor unsuccessful ,Moderately,"I can learn to code on my own, and plan to figure things out myself","Good, STA130 provides a reasonable amount of support for learning how to code in Python","Mostly, STA130 was generally helpful for learning Python",Somewhat helpful,"Yes, I liked having course topics introduced using Python",Somewhat effectively,Moderately,Somewhat strong,Extremely strong,Very helpful,"Tutorial Activities;Tutorial Assignments;The Course Project;Classmates (RSGs, study-buddies, etc.);",Adequate,Very helpful,Very helpful,The Course Project;Tutorial Assignments;,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Having the opportunity to work with groups and do projects together.,Nothing
126,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT135 or MAT136,CSC108 (or equivalent programming experience),Data Science Specialist,Poor,I have used a programming language in a class or some other context for somewhere between half of a year to a whole year,I have never used the Python programming language before this taking course,Intermediate,Neither effectively nor ineffectively,I am glad we're using the same programming language as corequisite CSC courses ;,I am concerned that it will be very hard to learn Python;I am concerned that the course might not provide enough support to help me learn Python;,"I would prefer to learn to code in a clear structured classroom format, as classes using coding should teach you how to code",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",None of the above,None of the above,Statistics Major,Adequate,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Very ineffectively,I don't think programming should be a part of a statistics course;,I am concerned that it will be very hard to learn Python;,"I can learn to code on my own, and plan to figure things out myself",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT135 or MAT136,CSC108 (or equivalent programming experience),Statistics Major,Good,I have used a programming language in a class or some other context for somewhere between up to half of a year,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Beginner,Neither effectively nor ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,I am excited to be learning a practical skill that's greatly valued in industry;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
