section,section_id,section_sis_id,submitted,attempt,"4484890: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4484891: Question 02 (Week 11)
Which of these topics will your feedback address? And are your responses based on using ChatGPT or the STA130 custom NBLMChatBot?

""My feedback will be about my experience using a ChatBot for the purposes of...""

We're just looking for you to highlight particular aspects of your experience that stood out to you. The options here might not be perfect, but we're hoping they provide enough expressivity for you to give us feedback where it makes sense to you.
✌️🤞",1.0,"4484894: Question 03 (Five-Star Rating)
Rate your experience using a ChatBot in STA130 on a Five-Star scale (where 1 is negative and 5 is positive).
Did you have a good experience regarding ChatBot support in writing, using, and troubleshooting Python code; or, learning statistical, data science, and Python programming topics and concepts?",1.0,"4484892: Question 04 (Learning Support)
Regarding learning statistical, data science, and Python programming topics and concepts (as opposed to just writing, using, and troubleshooting Python code) which of the following did you find to be helpful?",1.0,"4484893: Question 05 (Focus)
Was the scope of the responses of the ChatBot appropriately constrained and sufficiently targeted on the desired information?",1.0,"4669029: Midway Question 06
Now that you've seen half of the course, completed the midterm exam, and gotten a sense for what Prof. Scott is trying to do with everything in the course... which of the following would you say apply to you?",1.0,"4484889: Further comments or clarifications?
Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.",1.0,"4510563: Question 01 (follow up)
If you answered ""Other"" above, which (and perhaps why, if you'd like to share)?",1.0,n correct,n incorrect,score
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-23 03:01:10 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using ChatGPT,Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,Understanding in sample versus out of sample performance based on model complexity,Understanding feature importances and understanding differences between tree-based and linear model based predictions,[Last Week] Understanding interpretations of the linear forms of multiple linear regression\, such as interactions\, etc.,[Last Week] Fitting and using multiple linear regression models\, such as interpreting p-values and model R-square,[Last Week] Understanding the key considerations of and working with in-sample versus out-of-sample data,[Last Week] Explaining and supporting the model building process\, and the relevant considerations and concerns therein",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130",0.0,none,0.0,"","",2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-23 02:43:02 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,This feedback is for the STA130 custom NotebookLM ChatBot,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130",0.0,No,0.0,"","",2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-23 01:39:27 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,Other online resources",0.0,More often than not,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Great experience using ChatGPT,0.0,"","",1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-23 01:38:34 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,"Course material: wiki-textbook,ChatBots",0.0,Sometimes,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I rely on ChatBots more than I previously did because of STA130",0.0,"",0.0,"","",1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-23 01:19:50 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,ChatBots,0.0,More often than not,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,N/A,0.0,"","",3,4,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-22 23:48:08 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.0,Sometimes,0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,no,0.0,"","",1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-22 18:31:33 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,5,0.0,ChatBots,0.0,This feedback is for the STA130 custom NotebookLM ChatBot,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,"",0.0,"","",1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-22 15:55:41 UTC,1,Microsoft Copilot,0.0,"Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision",0.0,2,0.0,Course material: wiki-textbook,0.0,More often than not,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,"jj

 ",0.0,"","",2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-22 14:45:51 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,Course material: homework exercises,0.0,More often than not,0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,"No further comments

 ",0.0,"","",2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-22 14:44:46 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"Feedback is about my experience using ChatGPT,Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,Understanding in sample versus out of sample performance based on model complexity,Understanding feature importances and understanding differences between tree-based and linear model based predictions,[Last Week] Understanding interpretations of the linear forms of multiple linear regression\, such as interactions\, etc.,[Last Week] Fitting and using multiple linear regression models\, such as interpreting p-values and model R-square,[Last Week] Understanding the key considerations of and working with in-sample versus out-of-sample data,[Last Week] Explaining and supporting the model building process\, and the relevant considerations and concerns therein",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support,I'd prefer to have taken an easier R-based version of the course",0.0,No,0.0,"","",1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-22 13:40:31 UTC,1,ChatGPT (free tier),1.0,"Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,Understanding in sample versus out of sample performance based on model complexity,Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130",0.0,/,0.0,"","",2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-22 12:11:03 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,ChatBots,0.0,No,1.0,"I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support",0.0,ChatGPT is nice,0.0,"","",2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-22 11:34:21 UTC,1,ChatGPT (free tier),1.0,"Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision",0.0,3,0.0,Other online resources,0.0,Sometimes,0.0,I have a higher opinion of ChatBots than I previously did because of STA130,0.0,no,0.0,"","",2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-22 10:54:46 UTC,1,ChatGPT (paid subscription),0.0,"Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices",0.0,3,0.0,"Course material: homework exercises,ChatBots",0.0,Yes,0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130",0.0,"",0.0,"","",1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-22 07:14:03 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,ChatBots,0.0,Sometimes,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,none,0.0,"","",3,4,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-22 04:36:07 UTC,1,Microsoft Copilot,0.0,"[Last Week] Fitting and using multiple linear regression models\, such as interpreting p-values and model R-square",0.0,3,0.0,Course material: homework exercises,0.0,Sometimes,0.0,"I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support",0.0,"",0.0,"","",1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-22 03:01:06 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,5,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.0,This feedback is for the STA130 custom NotebookLM ChatBot,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"",0.0,"","",1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-22 02:43:41 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,5,0.0,ChatBots,0.0,More often than not,0.0,"I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support",0.0,"",0.0,"","",2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-22 01:55:32 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,"Course material: wiki-textbook,ChatBots",0.0,More often than not,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,NA,0.0,"","",1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-22 00:26:40 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,ChatBots,0.0,Sometimes,0.0,I rely on ChatBots more than I previously did because of STA130,0.0,"",0.0,"","",2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-21 23:41:07 UTC,1,ChatGPT (free tier),1.0,"Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,Yes,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130",0.0,NA,0.0,"","",2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-21 22:01:05 UTC,1,ChatGPT (paid subscription),0.0,Understanding feature importances and understanding differences between tree-based and linear model based predictions,0.0,2,0.0,Course material: wiki-textbook,0.0,More often than not,0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support",0.0,not yet,0.0,"","",1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-21 21:47:31 UTC,1,ChatGPT (paid subscription),0.0,"Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,Understanding in sample versus out of sample performance based on model complexity,[Last Week] Fitting and using multiple linear regression models\, such as interpreting p-values and model R-square",0.0,4,0.0,"Course material: Lectures and/or tutorials,Other online resources",0.0,Sometimes,0.0,"I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"",0.0,"","",1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-21 21:29:57 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using ChatGPT,Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.0,More often than not,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,"",0.0,"","",3,4,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-21 20:22:09 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,[Last Week] Understanding the key considerations of and working with in-sample versus out-of-sample data",0.0,3,0.0,"Course material: homework exercises,ChatBots",0.0,"More often than not,This feedback is for the STA130 custom NotebookLM ChatBot",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support",0.0,"In the given homework, most of the questions need to complete by using chatbot, i feel like this causes me not feel learning anything through homework. I think it would be helpful if we can make an adjust on that.",0.0,"","",1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-21 17:58:52 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"Feedback is about my experience using ChatGPT,Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,Yes,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,N o,0.0,"","",1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-21 05:20:54 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription),Microsoft Copilot,STA130 Custom NotebookLM,Other (specify in the final question later if you wish)",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,Understanding in sample versus out of sample performance based on model complexity,Understanding feature importances and understanding differences between tree-based and linear model based predictions,[Last Week] Understanding interpretations of the linear forms of multiple linear regression\, such as interactions\, etc.,[Last Week] Fitting and using multiple linear regression models\, such as interpreting p-values and model R-square,[Last Week] Understanding the key considerations of and working with in-sample versus out-of-sample data,[Last Week] Explaining and supporting the model building process\, and the relevant considerations and concerns therein",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources,None of these options",0.0,This feedback is for the STA130 custom NotebookLM ChatBot,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support,I'd prefer to have taken an easier R-based version of the course,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"",0.0,"","",1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-21 05:20:47 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,Course material: homework exercises,0.0,Sometimes,0.0,I have a higher opinion of ChatBots than I previously did because of STA130,0.0,no,0.0,"","",3,4,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-21 04:03:27 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,ChatBots,0.0,More often than not,0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,"STA130 help me introduced Chatbot to my process of work and study. Through writing assignments, I gradually got better understanding on prompting.  Thanks!",0.0,"","",1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-21 03:10:47 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130",0.0,"Some of the code in the homework is very confusing to read, other times, it is easy and comprehensible. ",0.0,"","",2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-21 01:01:55 UTC,1,ChatGPT (paid subscription),0.0,"Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision",0.0,3,0.0,Course material: homework exercises,0.0,Sometimes,0.0,I have a higher opinion of ChatBots than I previously did because of STA130,0.0,nothing,0.0,"","",1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-20 20:12:18 UTC,1,I prefer not use a ChatBot for STA130,0.0,"Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,Understanding in sample versus out of sample performance based on model complexity,Understanding feature importances and understanding differences between tree-based and linear model based predictions,[Last Week] Understanding interpretations of the linear forms of multiple linear regression\, such as interactions\, etc.,[Last Week] Fitting and using multiple linear regression models\, such as interpreting p-values and model R-square,[Last Week] Understanding the key considerations of and working with in-sample versus out-of-sample data,[Last Week] Explaining and supporting the model building process\, and the relevant considerations and concerns therein",0.0,1,1.0,Other online resources,0.0,No,1.0,I'm happy to be learning and building the python-oriented skills we're focussed on,0.0,"",0.0,"","",3,4,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-20 18:56:06 UTC,1,ChatGPT (paid subscription),0.0,Understanding in sample versus out of sample performance based on model complexity,0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises",0.0,Sometimes,0.0,I rely on ChatBots more than I previously did because of STA130,0.0,"",0.0,"","",1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-20 15:52:56 UTC,1,"ChatGPT (free tier),Microsoft Copilot,STA130 Custom NotebookLM",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,Understanding in sample versus out of sample performance based on model complexity,Understanding feature importances and understanding differences between tree-based and linear model based predictions,[Last Week] Understanding interpretations of the linear forms of multiple linear regression\, such as interactions\, etc.,[Last Week] Fitting and using multiple linear regression models\, such as interpreting p-values and model R-square,[Last Week] Understanding the key considerations of and working with in-sample versus out-of-sample data,[Last Week] Explaining and supporting the model building process\, and the relevant considerations and concerns therein",0.0,3,0.0,"Course material: wiki-textbook,ChatBots",0.0,"Sometimes,This feedback is for the STA130 custom NotebookLM ChatBot",0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,no,0.0,"","",1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-20 03:39:41 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises",0.0,Yes,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support",0.0,chabot answer your question,0.0,"","",1,6,0.0
