section,section_id,section_sis_id,submitted,attempt,"4421437: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4489826: Question 01 (follow up)
If you answered ""Other"" above, which (and perhaps why, if you'd like to share)?",1.0,"4421438: Question 02 (Week 03)
Which of these topics will your feedback address? And are your responses based on using ChatGPT or the STA130 custom NBLMChatBot?

""My feedback will be about my experience using a ChatBot for the purposes of...""

We're just looking for you to highlight particular aspects of your experience that stood out to you. The options here might not be perfect, but we're hoping they provide enough expressivity for you to give us feedback where it makes sense to you.
✌️🤞
",1.0,"4421441: Question 03 (Five-Star Rating)
Rate your experience using a ChatBot in STA130 on a Five-Star scale (where 1 is negative and 5 is positive).
Did you have a good experience regarding ChatBot support in writing, using, and troubleshooting Python code; or, learning statistical, data science, and Python programming topics and concepts?",1.0,"4390222: Question 04 (Learning Support)
Regarding learning statistical, data science, and Python programming topics and concepts (as opposed to just writing, using, and troubleshooting Python code) which of the following did you find to be helpful?",1.0,"4421442: Question 05 (Focus)
Was the scope of the responses of the ChatBot appropriately constrained and sufficiently targeted on the desired information?",1.0,"4421440: Further comments or clarifications?
Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.
",1.0,n correct,n incorrect,score
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-28 03:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-28 03:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-28 03:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-28 03:59:00 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,N/A,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-28 03:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-28 03:47:03 UTC,1,"ChatGPT (free tier),Microsoft Copilot",0.0,NA,0.0,"troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,Nothing,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-28 03:24:15 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and explaining Markovian ChatBot code (from last week)",0.0,4,0.0,"Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-28 03:16:35 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,Course material: Lectures and/or tutorials,1.0,More often than not,0.0,chatgpt is goated!!!,0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-28 01:32:19 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,Course material: Lectures and/or tutorials,1.0,No,1.0,"",0.0,5,2,3.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-28 01:29:30 UTC,1,ChatGPT (paid subscription),0.0,I didn't choose anything else.,0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew",0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,Chabot sometimes gives codes for errors that don't work.,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-28 00:57:12 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,ChatBots,0.0,Sometimes,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-28 00:45:34 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,"understanding\, explaining\, and improving Monte Hall code (from last week)",0.0,2,0.0,Course material: wiki-textbook,0.0,More often than not,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-28 00:29:34 UTC,1,"ChatGPT (paid subscription),Other",0.0,Claude,0.0,"Feedback is about my experience using ChatGPT,understanding and explaining Markovian ChatBot code (from last week)",0.0,4,0.0,"ChatBots,Other online resources",0.0,Yes,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-28 00:04:33 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week)",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises",0.0,Yes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 23:51:47 UTC,1,ChatGPT (free tier),1.0,NA,0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,ChatBots",0.0,Sometimes,0.0,"Cannot understand what we are doing in lecture…I am confused about course materials as well. I don’t know should I focus on python or statistics or both. This course called statistics 130, but we seem learn more python in the lecture and tutorial. However, there are more concepts from both statistics and python in wiki-textbook. Should we learn them outside lecture and tutorial?",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 23:50:27 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,5,0.0,"Course material,ChatBots,Other online resources",0.0,"Sometimes,More often than not",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 23:41:41 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,1,1.0,Course material: Lectures and/or tutorials,1.0,No,1.0,"",0.0,7,0,5.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 22:57:16 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,"Feedback is about my experience using ChatGPT,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding\, explaining\, and improving Monte Hall code (from last week)",0.0,5,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.0,Yes,0.0,No,0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 22:47:43 UTC,1,ChatGPT (free tier),1.0,"",0.0,"troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,ChatBots,0.0,Sometimes,0.0,"Probably less words in HW instruction, because it's really difficult to read",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 22:32:46 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,ChatBots,0.0,More often than not,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 22:19:48 UTC,1,ChatGPT (free tier),1.0,no,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs",0.0,5,0.0,Course material: Lectures and/or tutorials,1.0,Yes,0.0,Nope. I’ll try my best in this course. Today I represent my group for the presentation on tutorial.,0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 22:16:12 UTC,1,ChatGPT (free tier),1.0,'.',0.0,"",0.0,1,1.0,"ChatBots,None of these options",0.0,"",0.0,"I cry die scream when im doing the homeworks 

 ",0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 22:15:40 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,"Feedback is about my experience using ChatGPT,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and explaining Markovian ChatBot code (from last week)",0.0,5,0.0,"Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 21:37:57 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,"Course material: homework exercises,ChatBots",0.0,Yes,0.0,None,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 21:36:18 UTC,1,ChatGPT (free tier),1.0,"",0.0,"understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,:),0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 21:21:31 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,understanding\, explaining\, and improving Monte Hall code (from last week)",0.0,5,0.0,"Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,The homework is really challenging for me.,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 20:44:29 UTC,1,"ChatGPT (paid subscription),I prefer not use a ChatBot for STA130",0.0,ChatGPT Paid Verizon (4.0) ,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,understanding and explaining Markovian ChatBot code (from last week)",0.0,4,0.0,"ChatBots,Other online resources",0.0,"Sometimes,Feedback is about my experience using the STA130 custom NBLM ChatBot",0.0,Hope we can list question examples and go through them together in class ,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 20:42:03 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,"Course material: wiki-textbook,ChatBots",0.0,"More often than not,Yes",0.0,include more lecture works in the tutorial?,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 20:11:31 UTC,1,ChatGPT (paid subscription),0.0,.,0.0,understanding and explaining Markovian ChatBot code (from last week),0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.0,Sometimes,0.0,.,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 19:28:38 UTC,1,ChatGPT (free tier),1.0,"",0.0,"understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew",0.0,4,0.0,"ChatBots,Other online resources",0.0,Sometimes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 19:12:22 UTC,1,ChatGPT (paid subscription),0.0,no,0.0,"",0.0,"",0.0,"",0.0,"",0.0,no,0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 19:04:42 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,ChatBots,0.0,Yes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 18:53:48 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,No other,0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.0,More often than not,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 18:46:54 UTC,1,ChatGPT (paid subscription),0.0,N/A,0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,5,0.0,"Course material: wiki-textbook,ChatBots",0.0,More often than not,0.0,N/A,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 18:09:51 UTC,1,ChatGPT (free tier),1.0,N/A,0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots,Other online resources",0.0,Yes,0.0,I believe that more specificity within the homework would be better as it helps us ask better questions to the ChatBots.,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 18:03:33 UTC,1,ChatGPT (free tier),1.0,-,0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts",0.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.0,More often than not,0.0,I felt that doing the homework for Statistics required too much time. ,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 17:42:14 UTC,1,ChatGPT (free tier),1.0,"",0.0,"understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew",0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 16:56:33 UTC,1,ChatGPT (free tier),1.0,N/A ,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,"Yes,Feedback is about my experience using the STA130 custom NBLM ChatBot",0.0,I don’t have any additional comments yet.,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 15:04:40 UTC,1,ChatGPT (free tier),1.0,N/A,0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,ChatBots,0.0,More often than not,0.0,"The chatbot is generally a good experience, with a simple and easy-to-use interface. However, it would be better if it could provide more personalized responses and more examples. It could also be better at handling ambiguous questions, and it would be important to include a user feedback function. Overall, some small improvements would make it more effective in education.",0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 14:33:38 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,"Course material: homework exercises,ChatBots",0.0,Yes,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 14:20:33 UTC,1,"ChatGPT (paid subscription),Microsoft Copilot",0.0,No,0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,No,0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 14:14:43 UTC,1,ChatGPT (free tier),1.0,na,0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,ChatBots",0.0,More often than not,0.0,na,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 13:11:28 UTC,1,ChatGPT (free tier),1.0,nope,0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,none,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 13:10:08 UTC,1,ChatGPT (free tier),1.0,"",0.0,understanding and visualizing means versus medians versus right and left skew,0.0,2,0.0,Course material: Lectures and/or tutorials,1.0,Sometimes,0.0,"",0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 06:03:19 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.0,More often than not,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 04:50:25 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,"understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 04:33:54 UTC,1,ChatGPT (free tier),1.0,All good,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,all good.,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 04:02:39 UTC,1,ChatGPT (free tier),1.0,"",0.0,"understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,3,0.0,"Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,temporary no other comment,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 03:46:30 UTC,1,ChatGPT (free tier),1.0,ChatGPT (free tier),0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,The paid version of ChatGPT is significantly more accurate than the free version.,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 03:43:17 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,"ChatBots,Other online resources",0.0,Sometimes,0.0,nothing,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 03:20:08 UTC,1,ChatGPT (paid subscription),0.0,Other,0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs",0.0,2,0.0,Course material: Lectures and/or tutorials,1.0,No,1.0,It doesn't feel any good,0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 02:07:12 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,3,0.0,ChatBots,0.0,Sometimes,0.0,I hope to learn more about sta without python code🥺,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 01:47:17 UTC,1,"ChatGPT (free tier),Microsoft Copilot",0.0,only these two,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,"Course material: wiki-textbook,ChatBots",0.0,More often than not,0.0,"ChatBot will answer my questions immediatly, and I can ask it many times until I solve my questions.",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 01:41:58 UTC,1,ChatGPT (free tier),1.0,Chatgpt,0.0,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,0.0,3,0.0,"Course material: wiki-textbook,ChatBots",0.0,Sometimes,0.0,It’s hard to learn how to use codes to draw graph for data.,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 01:40:31 UTC,1,ChatGPT (paid subscription),0.0,no,0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,ChatBots,0.0,Sometimes,0.0,I think chatbot help me a lot.,0.0,3,4,1.0
