section,section_id,section_sis_id,submitted,attempt,"4561996: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4603077: Question 02 (Five-Star Rating)
With respect to the course project, rate your experience using a ChatBot in STA130 on a Five-Star scale (where 1 is negative and 5 is positive).",1.0,"4561999: Question 03 (Accuracy)
With respect to the course project, did the ChatBot provide helpful guidance and working code?",1.0,"4562000: Question 04 (Troubleshooting)
With respect to the course project, was the ChatBot able to fix programming problemsin two or fewer prompts based on code error messages?",1.0,"4562001: Question 05 (Focus)
With respect to the course project, was the scope of the responses of the ChatBot appropriately constrained and sufficiently targeted on the desired information?",1.0,"4562002: Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.",0.0,n correct,n incorrect,score
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-05 05:38:19 UTC,1,"ChatGPT(free tier),STA130 Custom NotebookLM",0.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,No thanks!,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-05 04:19:26 UTC,1,ChatGPT (paid subscription),0.0,3,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,no,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-05 03:27:46 UTC,1,ChatGPT (paid subscription),0.0,5,0.0,Yes,0.0,Sometimes,0.0,Yes,0.0,perfect,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-05 02:45:57 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,Sometimes,0.0,More often than not,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-05 02:17:46 UTC,1,ChatGPT(free tier),1.0,3,0.0,Yes,0.0,No,1.0,Yes,0.0,"",0.0,3,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-05 01:46:32 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,Yes,0.0,Yes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-05 01:41:04 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription)",0.0,5,0.0,More often than not,0.0,No,1.0,Sometimes,0.0,"Unlike course homework problems which could be answered entirely with ChatBots with little to no additional prompting, the course project required significantly more prompts and “judgement calls”. One would need to ask Chat many, many questions to get desired code. Even when the code is provided, it is up to the individual to decide how that code is to be applied effectively to the project. 

This isn’t to say that ChatBots are not helpful! They are incredibly useful for accessing code which would have taken longer to create. For complex projects however, it is up to the individual to engage with Chat effectively.",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-05 01:20:10 UTC,1,"ChatGPT (paid subscription),Microsoft Copilot",0.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-04 23:08:15 UTC,1,STA130 Custom NotebookLM,0.0,5,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-04 21:37:21 UTC,1,ChatGPT(free tier),1.0,3,0.0,Sometimes,0.0,Sometimes,0.0,More often than not,0.0,not,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-04 21:06:06 UTC,1,ChatGPT(free tier),1.0,3,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-04 20:50:42 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,5,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,nice,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-04 20:12:32 UTC,1,ChatGPT(free tier),1.0,3,0.0,Sometimes,0.0,More often than not,0.0,Yes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-04 19:32:59 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,More often than not,0.0,Yes,0.0,nothing yet,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-04 15:58:37 UTC,1,"ChatGPT(free tier),STA130 Custom NotebookLM",0.0,5,0.0,Yes,0.0,More often than not,0.0,More often than not,0.0,I think chatGpt was a great resource and made my learning a lot “faster” instead of delaying any questions I would ask a human i could ask chatgpt and get an answer within seconds.,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-04 06:07:09 UTC,1,ChatGPT(free tier),1.0,5,0.0,Yes,0.0,More often than not,0.0,More often than not,0.0,I don’t have any further comments yet.,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-04 05:07:48 UTC,1,Microsoft Copilot,0.0,3,0.0,More often than not,0.0,More often than not,0.0,Sometimes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-04 05:05:43 UTC,1,Microsoft Copilot,0.0,2,0.0,More often than not,0.0,Sometimes,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-04 04:05:05 UTC,1,ChatGPT(free tier),1.0,4,0.0,Yes,0.0,Yes,0.0,Sometimes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-04 03:00:04 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-04 00:24:24 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription)",0.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-03 23:57:06 UTC,1,"",0.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,nothing,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-03 23:45:06 UTC,1,ChatGPT(free tier),1.0,4,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,nothing,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-03 21:49:54 UTC,1,ChatGPT (paid subscription),0.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,no,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-03 21:28:48 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription)",0.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-03 21:20:56 UTC,1,ChatGPT(free tier),1.0,4,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,I don't believe GPT or chatbots should be integrated into statistics. It's often confusing and uninteractive as well as frustrating. ,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-03 21:00:44 UTC,1,ChatGPT(free tier),1.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,Great Project！,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-03 20:20:22 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,3,0.0,Sometimes,0.0,More often than not,0.0,Sometimes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-03 20:09:33 UTC,1,ChatGPT (paid subscription),0.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-03 17:19:01 UTC,1,ChatGPT(free tier),1.0,1,1.0,No,1.0,Sometimes,0.0,Sometimes,0.0,"",0.0,4,2,3.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-03 17:03:50 UTC,1,ChatGPT (paid subscription),0.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-03 16:22:17 UTC,1,"ChatGPT(free tier),STA130 Custom NotebookLM",0.0,4,0.0,More often than not,0.0,No,1.0,Sometimes,0.0,"As the content progressed, the chat bot was unable to provide good answers without prompting many times",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-03 15:46:43 UTC,1,ChatGPT (paid subscription),0.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-03 10:49:01 UTC,1,ChatGPT(free tier),1.0,5,0.0,Yes,0.0,Yes,0.0,More often than not,0.0,STA130 was fun!,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-03 06:16:01 UTC,1,ChatGPT(free tier),1.0,1,1.0,No,1.0,No,1.0,More often than not,0.0,"",0.0,5,1,4.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-03 05:37:55 UTC,1,ChatGPT(free tier),1.0,1,1.0,No,1.0,No,1.0,No,1.0,"",0.0,6,0,5.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-03 05:28:22 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription)",0.0,3,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-03 04:59:20 UTC,1,"ChatGPT(free tier),Microsoft Copilot,STA130 Custom NotebookLM",0.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-03 04:16:55 UTC,1,ChatGPT(free tier),1.0,3,0.0,Sometimes,0.0,Sometimes,0.0,More often than not,0.0,Thank you! :),0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-03 03:32:21 UTC,1,"ChatGPT(free tier),STA130 Custom NotebookLM",0.0,5,0.0,Yes,0.0,Yes,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-03 02:04:35 UTC,1,"ChatGPT(free tier),STA130 Custom NotebookLM",0.0,3,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,"I feel like having both a final project and a final exam is a source of stress with many students. Maybe focusing more on the course project and reducing the difficulty of the final exam would help students, especially since all students in sta130 are first year students.",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-03 01:10:11 UTC,1,ChatGPT(free tier),1.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-03 00:58:25 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription)",0.0,5,0.0,More often than not,0.0,Yes,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 23:39:07 UTC,1,ChatGPT (paid subscription),0.0,3,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,nothing,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 22:39:17 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,Chatbot is very helpful normally，but sometimes，it gives wrong guideline。,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 22:29:04 UTC,1,ChatGPT(free tier),1.0,2,0.0,Sometimes,0.0,More often than not,0.0,Sometimes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 22:24:53 UTC,1,"ChatGPT(free tier),STA130 Custom NotebookLM",0.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 22:15:35 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 21:52:50 UTC,1,ChatGPT (paid subscription),0.0,4,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 21:14:23 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 20:47:15 UTC,1,ChatGPT (paid subscription),0.0,4,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:48:51 UTC,1,ChatGPT (paid subscription),0.0,3,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,no,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:42:33 UTC,1,ChatGPT(free tier),1.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,No I don’t have.,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:30:28 UTC,1,ChatGPT (paid subscription),0.0,4,0.0,Sometimes,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:28:32 UTC,1,ChatGPT (paid subscription),0.0,5,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,none,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 19:13:08 UTC,1,ChatGPT (paid subscription),0.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,none,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:11:57 UTC,1,ChatGPT (paid subscription),0.0,5,0.0,Yes,0.0,More often than not,0.0,Yes,0.0,GPT is nice,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:05:32 UTC,1,ChatGPT(free tier),1.0,3,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,no,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:04:30 UTC,1,ChatGPT(free tier),1.0,3,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"Nothing really, I do like the incorporation of chatbots",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:03:40 UTC,1,ChatGPT (paid subscription),0.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,N/A,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:03:05 UTC,1,"ChatGPT(free tier),STA130 Custom NotebookLM",0.0,4,0.0,Yes,0.0,Yes,0.0,Sometimes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:03:03 UTC,1,"ChatGPT(free tier),Microsoft Copilot,STA130 Custom NotebookLM",0.0,3,0.0,Sometimes,0.0,More often than not,0.0,More often than not,0.0,no,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:02:56 UTC,1,"ChatGPT(free tier),STA130 Custom NotebookLM",0.0,3,0.0,More often than not,0.0,Sometimes,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:02:23 UTC,1,"ChatGPT(free tier),STA130 Custom NotebookLM",0.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,N/A,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:02:21 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription),Microsoft Copilot,STA130 Custom NotebookLM",0.0,4,0.0,Yes,0.0,Yes,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:02:18 UTC,1,ChatGPT(free tier),1.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,ChatGPT gooooood!,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 19:02:16 UTC,1,ChatGPT (paid subscription),0.0,5,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,None.,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:02:00 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription)",0.0,5,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:01:50 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:01:40 UTC,1,"ChatGPT(free tier),STA130 Custom NotebookLM",0.0,3,0.0,Sometimes,0.0,Sometimes,0.0,No,1.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:01:39 UTC,1,ChatGPT(free tier),1.0,4,0.0,Yes,0.0,Yes,0.0,Yes,0.0,N/A,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 19:00:30 UTC,1,ChatGPT (paid subscription),0.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 18:59:51 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,n/a,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 18:58:57 UTC,1,ChatGPT(free tier),1.0,3,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,no,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 18:14:46 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"So far, l don’t  have any comments ",0.0,2,4,1.0
