section,section_id,section_sis_id,submitted,attempt,"4484884: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4484885: Question 02 (Project Week 12)
Which of these topics will your feedback address? And are your responses based on using ChatGPT or the STA130 custom NBLMChatBot?

""My feedback will be about my experience using a ChatBot for the purposes of...""

We're just looking for you to highlight particular aspects of your experience that stood out to you. The options here might not be perfect, but we're hoping they provide enough expressivity for you to give us feedback where it makes sense to you.
✌️🤞",1.0,"4484887: Question 03 (Accuracy)
Did the ChatBot provide helpful guidance and working code?",1.0,"4484888: Question 04 (Troubleshooting)
Is the ChatBot able to fix programming problemsin two or fewer prompts based on code error messages?",1.0,"4484886: Question 05 (Focus)
Was the scope of the responses of the ChatBot appropriately constrained and sufficientlytargetedon the desired information?",1.0,"4484883: Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.
",1.0,n correct,n incorrect,score
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-30 03:22:51 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription),Microsoft Copilot,STA130 Custom NotebookLM",0.0,"[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,"Detail of poster

 ",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-30 03:17:50 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,Yes,0.0,Yes,0.0,Yes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-30 03:03:43 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,More often than not,0.0,More often than not,0.0,Sometimes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-30 01:55:01 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using ChatGPT,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,No thanks,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-30 01:51:28 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,Feedback is about my experience using ChatGPT,0.0,More often than not,0.0,Sometimes,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-30 01:31:49 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,Feedback is about my experience using ChatGPT,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,Great experience using ChatGPT,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-30 00:17:58 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,For the course project,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,Yes,0.0,More often than not,0.0,More often than not,0.0,chatgpt rule,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-30 00:04:26 UTC,1,ChatGPT (paid subscription),0.0,"[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices",0.0,More often than not,0.0,More often than not,0.0,Sometimes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-29 23:57:53 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,Sometimes,0.0,More often than not,0.0,Sometimes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-29 22:52:29 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,Yes,0.0,Yes,0.0,Yes,0.0,。,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-29 17:08:03 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-29 16:54:52 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,More often than not,0.0,More often than not,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,More often than not",0.0,Na,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-29 14:49:19 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,No additional feedback,0.0,3,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-29 14:32:15 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,not,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-29 14:31:50 UTC,1,ChatGPT (paid subscription),0.0,"[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices",0.0,Sometimes,0.0,More often than not,0.0,Sometimes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-29 14:19:57 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,Yes,0.0,More often than not,0.0,Sometimes,0.0,"It can identify mistakes in a code, but sometimes the code itself generated also contain bugs",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-29 12:59:49 UTC,1,ChatGPT (paid subscription),0.0,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,ChatGPT is sometimes helpful ,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-29 06:43:00 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,For the course project,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,It is good to use chatbots and help me a lot understanding the knowledge during the class,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-29 05:01:35 UTC,1,STA130 Custom NotebookLM,0.0,For the course project,0.0,No,1.0,Sometimes,0.0,Sometimes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-29 04:37:11 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,Yes,0.0,Yes,0.0,Yes,0.0,Great！,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-29 03:38:20 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,NAN,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-29 00:38:13 UTC,1,ChatGPT (free tier),1.0,"For the course project,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,More often than not,0.0,More often than not,0.0,Sometimes,0.0,/,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-29 00:06:24 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,Yes,0.0,No,1.0,Sometimes,0.0,ChatBots have been useful as an aided-learning tool and generator of starting code. You must engage with it effectively to get desired responses (and this class has been useful in learning how to do just that).,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-28 22:40:34 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,For the course project,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,Yes,0.0,More often than not,0.0,More often than not,0.0,no,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-28 22:14:33 UTC,1,"ChatGPT (free tier),Microsoft Copilot",0.0,"Feedback is about my experience using ChatGPT,For the course project",0.0,More often than not,0.0,Sometimes,0.0,Sometimes,0.0,Nope,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-28 20:15:42 UTC,1,"ChatGPT (paid subscription),Microsoft Copilot",0.0,For the course project,0.0,Yes,0.0,Yes,0.0,Yes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-28 20:07:17 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM,Other (specify in the final question later if you wish)",0.0,"[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices",0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,Claude,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-28 19:02:37 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,Yes,0.0,Yes,0.0,Yes,0.0,N/A,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-28 17:10:21 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,nothing,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-28 08:11:51 UTC,1,"ChatGPT (free tier),Microsoft Copilot,Other (specify in the final question later if you wish)",0.0,Feedback is about my experience using ChatGPT,0.0,Yes,0.0,More often than not,0.0,More often than not,0.0,"i sometimes use the Gemini ai, I do like using chatbots in class as a helper but relying on it can get tricky",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-28 06:14:23 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,More often than not,0.0,More often than not,0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,please not too difficult of the exam,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-28 04:37:14 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,Yes,0.0,Yes,0.0,Yes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-28 03:30:55 UTC,1,"ChatGPT (paid subscription),Microsoft Copilot,STA130 Custom NotebookLM",0.0,Feedback is about my experience using ChatGPT,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,None,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-27 23:19:02 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-27 17:04:43 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,Sometimes,0.0,Sometimes,0.0,More often than not,0.0,Sometimes it works better depending on how much information i provided to the Chatbot.,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-27 12:59:52 UTC,1,ChatGPT (free tier),1.0,"",0.0,No,1.0,No,1.0,No,0.0,"",0.0,4,2,3.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-27 04:47:28 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using ChatGPT,For the course project,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision",0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-27 04:45:51 UTC,1,Other (specify in the final question later if you wish),0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,Sometimes,0.0,Sometimes,0.0,No,0.0,"no more

 ",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-27 01:42:59 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"Feedback is about my experience using ChatGPT,For the course project,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,Yes,0.0,Yes,0.0,Yes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-27 01:33:13 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,Sometimes,0.0,No,1.0,Sometimes,0.0,"The code in the past week for the project has been poor, and I have spent far too much time on it. ",0.0,3,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-27 00:55:18 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using ChatGPT,For the course project,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-26 23:48:53 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,More often than not,0.0,More often than not,0.0,Sometimes,0.0,very good,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-26 23:16:48 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using ChatGPT,[Last Week] Understanding in sample versus out of sample performance based on model complexity",0.0,More often than not,0.0,Sometimes,0.0,More often than not,0.0,nothing,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-26 23:15:50 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,Yes,0.0,More often than not,0.0,Yes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-26 23:10:10 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,More often than not,0.0,Sometimes,0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,none,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-26 21:02:42 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,Sometimes,0.0,Sometimes,0.0,"Sometimes,Yes",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-26 21:00:57 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,No,1.0,No,1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,"",0.0,6,0,5.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-26 20:51:44 UTC,1,ChatGPT (free tier),1.0,For the course project,0.0,Sometimes,0.0,More often than not,0.0,Sometimes,0.0,NA,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-26 18:10:03 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,More often than not,0.0,Sometimes,0.0,Sometimes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-26 17:54:38 UTC,1,ChatGPT (free tier),1.0,For the course project,0.0,Yes,0.0,Yes,0.0,Yes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-26 14:07:13 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,nothing,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-26 08:50:30 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using ChatGPT,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-26 05:07:20 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-26 03:55:12 UTC,1,"ChatGPT (free tier),Microsoft Copilot",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,Yes,0.0,More often than not,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,More often than not",0.0,All questions are short answers in the final exam plz,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-26 01:32:54 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision",0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,More practice problems would be helpful ,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-26 00:54:28 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,More often than not,0.0,Sometimes,0.0,Sometimes,0.0,NA,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-25 23:17:35 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,For the course project,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,More often than not,0.0,More often than not,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Sometimes",0.0,NAN,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-25 21:27:58 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-25 21:11:31 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,Feedback is about my experience using ChatGPT,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-25 20:53:40 UTC,1,ChatGPT (free tier),1.0,"For the course project,[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices",0.0,Sometimes,0.0,No,1.0,Sometimes,0.0,"",0.0,3,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-25 20:21:06 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,Sometimes,0.0,No,1.0,Sometimes,0.0,no,0.0,3,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-25 20:19:14 UTC,1,"ChatGPT (free tier),Microsoft Copilot",0.0,"Feedback is about my experience using ChatGPT,For the course project,[Last Week] Getting examples of classification problems\, and understanding sensitivity\, specificity\, and precision,[Last Week] Fitting Classification Decision Trees\, and understanding and creating Confusion Matrices,[Last Week] Understanding in sample versus out of sample performance based on model complexity,[Last Week] Understanding feature importances and understanding differences between tree-based and linear model based predictions",0.0,Sometimes,0.0,More often than not,0.0,More often than not,0.0,.,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-25 20:00:58 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Feedback is about my experience using ChatGPT,For the course project",0.0,Yes,0.0,More often than not,0.0,More often than not,0.0,"Chatbot context window is not large enough for the wanted analysis, code becomes hundreds of lines causing ChatGPT to fail to recognize / understand what is important / relevant within the code",0.0,1,5,0.0
