section,section_id,section_sis_id,submitted,attempt,"4644490: Question 01 (follow up)
If you answered ""Other"" above, which (and perhaps why, if you'd like to share)?",1.0,"4390110: Question 01
Which ChatBot(s) are you recently finding helpful or generally useful for STA130?",1.0,"4390111: Midway Question 02
What are ChatBots helpful for?",1.0,"4628513: Midway Question 05
Which of the following best characterizes your experience with the STA130 Custom NotebookLM ChatBot (STA130NBLMbot)?",1.0,"4390112: Midway Question 03
Which of the following do you think should continue to be a part of (or be added to) STA130?",1.0,"4390113: Midway Question 04
Would you be interested in seeing your preferred ChatBots in other STA courses beyond STA130?",1.0,"4628572: Midway Question 06
Now that you've seen half of the course, completed the midterm exam, and gotten a sense for what Prof. Scott is trying to do with everything in the course... which of the following would you say apply to you?",1.0,"4628721: Midway question 07
Are you worried about the fact that future STA courses are using R instead of Python?",1.0,"4390115: Further comments or clarifications?
Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context (and perhaps beyond).",1.0,n correct,n incorrect,score
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 20:11:51 UTC,1,"",0.0,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"Coding,Understanding code,Learning to code,Preparing for exams (such our midterm exam),Helping with writing",0.0,I have not used the STA130NBLMbot,1.0,None of these: I don't think STA130 should have any ChatBots,0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'd prefer to have taken an easier R-based version of the course,I rely on ChatBots more than I previously did because of STA130",0.0,Tremendously,0.0,"",0.0,3,6,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 17:52:07 UTC,1,"",0.0,ChatGPT (free tier),1.0,"Coding,Understanding code,Learning to code,Explaining/Learning statistical concepts,Doing well in the course",0.0,The STA130NBLMbotwas good for many course related questions,0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot",1.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'm happy to be learning and building the python-oriented skills we're focussed on,I have a higher opinion of ChatBots than I previously did because of STA130",0.0,Moderately,0.0,"",0.0,4,5,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 17:43:27 UTC,1,"",0.0,ChatGPT (free tier),1.0,Coding,1.0,The STA130NBLMbot was a valuable tool for preparing for the midterm exam,0.0,A better Custom ChatBot,0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",0.0,Tremendously,0.0,"",0.0,4,5,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 17:11:45 UTC,1,I did not say other,0.0,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Coding,Understanding code,Learning to code,Explaining/Learning statistical concepts",0.0,"The STA130NBLMbotwas good for many course related questions,The STA130NBLMbot was a valuable tool for preparing for the midterm exam",0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot",1.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'd prefer to have taken an easier R-based version of the course,I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",0.0,Moderately,0.0,Nothing ,0.0,3,6,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 03:02:52 UTC,1,"",0.0,ChatGPT (free tier),1.0,"Coding,Understanding code,Learning to code",0.0,I have not used the STA130NBLMbot,1.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot",1.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,I'd prefer to have taken an easier R-based version of the course,1.0,Tremendously,0.0,NA,0.0,6,3,4.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 02:01:13 UTC,1,None,0.0,ChatGPT (paid subscription),0.0,"Coding,Understanding code,Learning to code,Helping with writing",0.0,The STA130NBLMbot was a valuable tool for preparing for the midterm exam,0.0,"""Paid subscription"" ChatBots\, like the ""not free version"" of ChatGPT,A better Custom ChatBot",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Moderately,0.0,none,0.0,2,7,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 01:31:56 UTC,1,nothing,0.0,ChatGPT (paid subscription),0.0,Coding,1.0,The STA130NBLMbotwas good for many course related questions,0.0,"My favourite ""Other"" ChatBot (which you can specify in the final question later if you wish)",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Moderately,0.0,"My experience with ChatBot in the STA130 course was generally positive, especially when dealing with statistical concepts and code implementations.ChatBot was excellent in guiding hypothesis testing, data analysis, and interpreting statistical results, which helped me greatly in understanding complex statistical concepts. However, sometimes the answers can be too technical or lack concise step-by-step instructions, which detracts from learning. I would like to see ChatBot provide more concise step-by-step answers to make complex concepts easier to understand. This improvement is not only applicable to STA130, but may also lead to better help in other courses or statistical learning environments.",0.0,3,6,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 01:11:36 UTC,1,"",0.0,ChatGPT (free tier),1.0,"Coding,Understanding code,Explaining/Learning statistical concepts",0.0,I have not used the STA130NBLMbot,1.0,None of these: I don't think STA130 should have any ChatBots,0.0,No,1.0,I'm happy to be learning and building the python-oriented skills we're focussed on,0.0,Moderately,0.0,"",0.0,5,4,3.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 00:41:12 UTC,1,"",0.0,ChatGPT (paid subscription),0.0,"Coding,Explaining/Learning statistical concepts",0.0,The STA130NBLMbotwas not good for coding,0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot",1.0,Yes,0.0,I have a higher opinion of ChatBots than I previously did because of STA130,0.0,Moderately,0.0,"",0.0,3,6,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-02 22:52:48 UTC,1,"",0.0,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Coding,Understanding code,Learning to code,Explaining/Learning statistical concepts,Preparing for exams (such our midterm exam),Doing well on exams (specifically our midterm exam),Doing well in the course",0.0,"The STA130NBLMbotwas good for many course related questions,I plan to use the STA130NBLMbotmore in the second half of the course,I plan to use the ""podcast"" feature of the STA130NBLMbot as a way to review material in the second half of the course",0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot,STA130 Custom NotebookLM,A better Custom ChatBot",0.0,Yes,0.0,"I'm happy to be learning and building the python-oriented skills we're focussed on,I have a higher opinion of ChatBots than I previously did because of STA130",0.0,Moderately,0.0,"",0.0,2,7,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-02 19:29:20 UTC,1,N o,0.0,"ChatGPT (free tier),ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"Coding,Understanding code,Preparing for exams (such our midterm exam)",0.0,The STA130NBLMbotwas good for many course related questions,0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot",1.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'm happy to be learning and building the python-oriented skills we're focussed on,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Moderately,0.0,Everything is good,0.0,3,6,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-02 18:17:10 UTC,1,.,0.0,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Understanding code,Explaining/Learning statistical concepts,Preparing for exams (such our midterm exam)",0.0,"The STA130NBLMbotwas good for many course related questions,I plan to use the STA130NBLMbotmore in the second half of the course",0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot,STA130 Custom NotebookLM,A better Custom ChatBot",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I rely on ChatBots more than I previously did because of STA130,I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support",0.0,Moderately,0.0,none,0.0,2,7,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-02 15:30:10 UTC,1,I didnt answer other,0.0,ChatGPT (free tier),1.0,"Coding,Understanding code,Explaining/Learning statistical concepts",0.0,I have not used the STA130NBLMbot,1.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot",1.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,I'm happy to be learning and building the python-oriented skills we're focussed on,0.0,Moderately,0.0,no,0.0,5,4,3.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-02 13:22:10 UTC,1,"",0.0,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Coding,Understanding code,Learning to code,Explaining/Learning statistical concepts,Helping with writing",0.0,"The STA130NBLMbotwas not good for coding,The STA130NBLMbotwas good for many course related questions,The STA130NBLMbot was a valuable tool for preparing for the midterm exam,I plan to use the STA130NBLMbotmore in the second half of the course",0.0,"""Vanilla"" ChatBots like ChatGPT or Microsoft Copilot,STA130 Custom NotebookLM,A better Custom ChatBot",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,"I'm happy to be learning and building the python-oriented skills we're focussed on,I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support",0.0,Minimally,1.0,"",0.0,3,6,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-02 08:35:51 UTC,1,No,0.0,ChatGPT (free tier),1.0,"Coding,Understanding code,Learning to code,Explaining/Learning statistical concepts",0.0,I have not used the STA130NBLMbot,1.0,"""Paid subscription"" ChatBots\, like the ""not free version"" of ChatGPT",0.0,"Yes, but perhaps just for certain courses for certain purposes",0.0,I'm happy to be learning and building the python-oriented skills we're focussed on,0.0,Moderately,0.0,good👍🏻,0.0,4,5,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-01 21:41:05 UTC,1,"",0.0,ChatGPT (paid subscription),0.0,"Coding,Understanding code,Learning to code,Explaining/Learning statistical concepts,Preparing for exams (such our midterm exam),Doing well on exams (specifically our midterm exam),Doing well in the course,Helping with writing,Reading and writing communication practice",0.0,I have not used the STA130NBLMbot,1.0,"""Paid subscription"" ChatBots\, like the ""not free version"" of ChatGPT",0.0,Yes,0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Tremendously,0.0,"",0.0,3,6,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-01 20:18:23 UTC,1,no.,0.0,ChatGPT (free tier),1.0,None of these,0.0,I have not used the STA130NBLMbot,1.0,None of these: I don't think STA130 should have any ChatBots,0.0,No,1.0,I'd prefer to have taken an easier R-based version of the course,1.0,Moderately,0.0,no,0.0,6,3,4.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-01 19:23:11 UTC,1,"",0.0,"ChatGPT (free tier),Microsoft Copilot",0.0,Explaining/Learning statistical concepts,0.0,I plan to use the STA130NBLMbotmore in the second half of the course,0.0,"""Paid subscription"" ChatBots\, like the ""not free version"" of ChatGPT",0.0,"",0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Tremendously,0.0,"",0.0,2,7,0.0
