section,section_id,section_sis_id,submitted,attempt,"4628602: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4628604: Question 02 (Week 05)
Which of these topics will your feedback address? And are your responses based on using ChatGPT or the STA130 custom NBLMChatBot?

""My feedback will be about my experience using a ChatBot for the purposes of...""

We're just looking for you to highlight particular aspects of your experience that stood out to you. The options here might not be perfect, but we're hoping they provide enough expressivity for you to give us feedback where it makes sense to you.
✌️🤞",1.0,"4628605: Question 03 (Five-Star Rating)
Rate your experience using a ChatBot in STA130 on a Five-Star scale (where 1 is negative and 5 is positive).
Did you have a good experience regarding ChatBot support in writing, using, and troubleshooting Python code; and, learning statistical, data science, and Python programming topics and concepts?",1.0,"4628686: Question 04 (Learning Support)
Regarding learning statistical, data science, and Python programming topics and concepts (as opposed to just writing, using, and troubleshooting Python code) which of the following did you find to be helpful?",1.0,"4628687: Question 05 (Focus)
Was the scope of the responses of the ChatBot appropriately constrained and sufficiently targeted on the desired information?",1.0,"4628688: Further comments or clarifications?
Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.",1.0,n correct,n incorrect,score
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 04:56:26 UTC,1,Microsoft Copilot,0.0,"understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions",0.0,4,0.0,Course material: wiki-textbook,0.25,This feedback is for the STA130 custom NotebookLM ChatBot Answer 5Toggle editing answer text as HTML,0.0,"",0.0,2,4,0.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:41:12 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,ChatBots,0.25,Yes,0.0,"",0.0,4,2,2.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:37:42 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,Course material: Lectures and/or tutorials,0.25,Sometimes,0.0,"",0.0,3,3,1.25
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 04:30:58 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using ChatGPT,understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,explaining simulating the sampling distribution under the null\, p-value calculations\, and comparing and contrasting this with bootstrapped confidence intervals,explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping(from last week),intuitively motivating and explaining the variability/uncertainty of sample means versus sample size(from last week),explaining the difference between standard deviation and standard error (SE) [of the mean (SEM)] (+/- 2 SEM confidence intervals)(from last week),providing and explain bootstrapping confidence interval (percentile based) code for arbitrary statistics other than means(from last week)",0.0,4,0.0,"Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.5,More often than not,0.0,"",0.0,2,4,0.5
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 04:12:03 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,ChatBots,0.25,This feedback is for the STA130 custom NotebookLM ChatBot Answer 5Toggle editing answer text as HTML,0.0,na,0.0,3,3,1.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 03:58:59 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",1.0,More often than not,0.0,N/A,0.0,3,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 03:31:48 UTC,1,ChatGPT (free tier),1.0,"explaining simulating the sampling distribution under the null\, p-value calculations\, and comparing and contrasting this with bootstrapped confidence intervals",0.0,3,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.5,Yes,0.0,"",0.0,3,3,1.5
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 03:18:29 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.5,More often than not,0.0,No.,0.0,3,3,1.5
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 03:17:29 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using ChatGPT,understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,intuitively motivating and explaining the variability/uncertainty of sample means versus sample size(from last week)",0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.75,More often than not,0.0,"",0.0,2,4,0.75
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 03:17:20 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises",0.5,More often than not,0.0,"",0.0,2,4,0.5
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 03:12:40 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,ChatBots,0.25,"Yes,This feedback is for the STA130 custom NotebookLM ChatBot Answer 5Toggle editing answer text as HTML",0.0,"",0.0,3,3,1.25
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 02:33:23 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: wiki-textbook,ChatBots",0.5,More often than not,0.0,N/A,0.0,2,4,0.5
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 02:07:04 UTC,1,ChatGPT (paid subscription),0.0,"Feedback is about my experience using ChatGPT,understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,intuitively motivating and explaining the variability/uncertainty of sample means versus sample size(from last week)",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises",0.75,Sometimes,0.0,"",0.0,2,4,0.75
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 01:58:52 UTC,1,ChatGPT (paid subscription),0.0,"explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping(from last week)",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook",0.5,Sometimes,0.0,"",0.0,2,4,0.5
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 01:20:06 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,Course material: homework exercises,0.25,Sometimes,0.0,"",0.0,3,3,1.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 01:14:59 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,"Course material: homework exercises,ChatBots",0.5,More often than not,0.0,"",0.0,2,4,0.5
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 01:05:02 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook",0.5,More often than not,0.0,"",0.0,3,3,1.5
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 00:30:23 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,Course material: homework exercises,0.25,More often than not,0.0,that‘s all,0.0,3,3,1.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 00:20:08 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,ChatBots,0.25,More often than not,0.0,nice lessons,0.0,4,2,2.25
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 00:03:22 UTC,1,ChatGPT (free tier),1.0,"understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,explaining simulating the sampling distribution under the null\, p-value calculations\, and comparing and contrasting this with bootstrapped confidence intervals,explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping(from last week),explaining the difference between standard deviation and standard error (SE) [of the mean (SEM)] (+/- 2 SEM confidence intervals)(from last week),providing and explain bootstrapping confidence interval (percentile based) code for arbitrary statistics other than means(from last week)",0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",1.0,"Sometimes,More often than not",0.0,"",0.0,3,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 23:44:38 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,ChatBots,0.25,This feedback is for the STA130 custom NotebookLM ChatBot Answer 5Toggle editing answer text as HTML,0.0,nope,0.0,2,4,0.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 23:25:49 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,2,0.0,ChatBots,0.25,Yes,0.0,nope,0.0,3,3,1.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 22:48:27 UTC,1,"ChatGPT (paid subscription),Microsoft Copilot",0.0,"understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions",0.0,3,0.0,"Course material: homework exercises,ChatBots,Other online resources",0.25,More often than not,0.0,"",0.0,2,4,0.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 22:33:09 UTC,1,ChatGPT (paid subscription),0.0,"explaining simulating the sampling distribution under the null\, p-value calculations\, and comparing and contrasting this with bootstrapped confidence intervals",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.75,More often than not,0.0,"",0.0,2,4,0.75
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 21:45:31 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using ChatGPT,explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping(from last week)",0.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.5,More often than not,0.0,"Currently no, Thanks😊",0.0,3,3,1.5
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 21:39:39 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,1,1.0,"Course material: Lectures and/or tutorials,ChatBots",0.5,Sometimes,0.0,no,0.0,4,2,2.5
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 21:36:54 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,explaining simulating the sampling distribution under the null\, p-value calculations\, and comparing and contrasting this with bootstrapped confidence intervals,understanding and converting simulation code from a two-one side to a two-sided hypothesis test,explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping(from last week),intuitively motivating and explaining the variability/uncertainty of sample means versus sample size(from last week),explaining the difference between standard deviation and standard error (SE) [of the mean (SEM)] (+/- 2 SEM confidence intervals)(from last week),providing and explain bootstrapping confidence interval (percentile based) code for arbitrary statistics other than means(from last week)",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",1.0,More often than not,0.0,No,0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 21:34:59 UTC,1,ChatGPT (free tier),1.0,"",0.0,3,0.0,"Course material: wiki-textbook,ChatBots",0.5,Sometimes,0.0,"",0.0,3,3,1.5
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 21:33:06 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using ChatGPT,intuitively motivating and explaining the variability/uncertainty of sample means versus sample size(from last week),providing and explain bootstrapping confidence interval (percentile based) code for arbitrary statistics other than means(from last week)",0.0,3,0.0,ChatBots,0.25,Sometimes,0.0,Using chat box can help me better understand the knowledge ,0.0,3,3,1.25
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 20:09:33 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping(from last week),intuitively motivating and explaining the variability/uncertainty of sample means versus sample size(from last week)",0.0,4,0.0,"Course material: homework exercises,ChatBots,Other online resources",0.25,Sometimes,0.0,"",0.0,2,4,0.25
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 19:31:52 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",1.0,Yes,0.0,N/A,0.0,3,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 18:27:30 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.75,More often than not,0.0,Great experience with ChatGPT,0.0,2,4,0.75
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 17:50:36 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,Course material: Lectures and/or tutorials,0.25,Sometimes,0.0,"",0.0,3,3,1.25
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 17:43:59 UTC,1,"ChatGPT (free tier),Microsoft Copilot",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,explaining simulating the sampling distribution under the null\, p-value calculations\, and comparing and contrasting this with bootstrapped confidence intervals",0.0,3,0.0,"Course material: homework exercises,ChatBots",0.5,More often than not,0.0,"",0.0,2,4,0.5
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 17:10:05 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,understanding and converting simulation code from a two-one side to a two-sided hypothesis test",0.0,4,0.0,ChatBots,0.25,More often than not,0.0,I have not had any major problems with the chatbots.,0.0,2,4,0.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 04:49:33 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,explaining simulating the sampling distribution under the null\, p-value calculations\, and comparing and contrasting this with bootstrapped confidence intervals,understanding and converting simulation code from a two-one side to a two-sided hypothesis test,explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping(from last week),intuitively motivating and explaining the variability/uncertainty of sample means versus sample size(from last week),explaining the difference between standard deviation and standard error (SE) [of the mean (SEM)] (+/- 2 SEM confidence intervals)(from last week),providing and explain bootstrapping confidence interval (percentile based) code for arbitrary statistics other than means(from last week)",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.75,More often than not,0.0,"",0.0,3,3,1.75
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 03:22:40 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.75,Yes,0.0,"",0.0,3,3,1.75
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-03 03:00:01 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,5,0.0,Course material: Lectures and/or tutorials,0.25,Sometimes,0.0, none,0.0,4,2,2.25
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 01:26:30 UTC,1,ChatGPT (free tier),1.0,"understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions",0.0,4,0.0,Course material: Lectures and/or tutorials,0.25,Yes,0.0,"In the STA130 course, ChatBot was very useful in helping with the statistical analysis tasks, especially in explaining the hypothesis testing steps and code implementation. However, at times the responses were overly complex or lacked the background details I needed, making understanding difficult. Overall, the guidance provided by ChatBot was helpful in the learning process, but I would have liked it to be more adapted to my learning pace by providing more concise, step-by-step explanations in order to complete the tasks more efficiently.",0.0,3,3,1.25
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-03 00:39:48 UTC,1,ChatGPT (paid subscription),0.0,"understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,explaining simulating the sampling distribution under the null\, p-value calculations\, and comparing and contrasting this with bootstrapped confidence intervals,understanding and converting simulation code from a two-one side to a two-sided hypothesis test,explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping(from last week),intuitively motivating and explaining the variability/uncertainty of sample means versus sample size(from last week),explaining the difference between standard deviation and standard error (SE) [of the mean (SEM)] (+/- 2 SEM confidence intervals)(from last week),providing and explain bootstrapping confidence interval (percentile based) code for arbitrary statistics other than means(from last week)",0.0,5,0.0,ChatBots,0.25,Yes,0.0,gpt = nice material,0.0,2,4,0.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-02 22:50:28 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,understanding and converting simulation code from a two-one side to a two-sided hypothesis test,explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping(from last week),providing and explain bootstrapping confidence interval (percentile based) code for arbitrary statistics other than means(from last week)",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,ChatBots",0.75,More often than not,0.0,Sometimes ChatBoxes need a little more guidance to get to the right answer but its definitely very helpful because I get the answers to my questions within seconds.,0.0,2,4,0.75
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-02 19:54:31 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,understanding and converting simulation code from a two-one side to a two-sided hypothesis test",0.0,5,0.0,"Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.75,Yes,0.0,"For me the chatbots were good, especially NotebookLM. I love that chatbot. I really like how it tells me if it can't answer a question, and tells me to take whatever answer it generates (using the internet as its source now instead of course material) with a grain of salt. I feel more confident using NotebookLM and I am so. incredibly. grateful. I do not have to search page-by-page through a 600 paged textbook that will never answer my specific question. 

AND ITS FREE!!

 

Please, for the future students of stats, do not get rid of NotebookLM. You guys ate the house down with that. If NotebookLM has one fan it is me. If NotebookLM has no fans I am dead.

ChatGPT was great too, ESPECIALLY for generating/explaining code, but it definitely has its limits in terms of analysis. I usually try to answer conceptual questions on my own using NotebookLM as my source for any questions. So far my strategy has resulted in some bomb homework grades, so I will be keeping it up. ",0.0,2,4,0.75
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-02 19:24:12 UTC,1,ChatGPT (free tier),1.0,"Feedback is about my experience using ChatGPT,understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping(from last week)",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.75,Yes,0.0,No,0.0,3,3,1.75
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-02 18:11:21 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.5,Sometimes,0.0,nothing,0.0,3,3,1.5
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-02 14:47:16 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,Course material: Lectures and/or tutorials,0.25,More often than not,0.0,"I find that the longer gpt writes, the more unstable its skills are",0.0,3,3,1.25
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-02 13:19:05 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,understanding hypothesis testing regarding null hypotheses\, p-values\, and decisions,explaining simulating the sampling distribution under the null\, p-value calculations\, and comparing and contrasting this with bootstrapped confidence intervals,understanding and converting simulation code from a two-one side to a two-sided hypothesis test,explaining simulating the sampling distribution of a mean using normal\, gamma distributions\, or bootstrapping(from last week),intuitively motivating and explaining the variability/uncertainty of sample means versus sample size(from last week),explaining the difference between standard deviation and standard error (SE) [of the mean (SEM)] (+/- 2 SEM confidence intervals)(from last week),providing and explain bootstrapping confidence interval (percentile based) code for arbitrary statistics other than means(from last week)",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.75,More often than not,0.0,"",0.0,2,4,0.75
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-02 08:34:26 UTC,1,ChatGPT (free tier),1.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.75,Sometimes,0.0,No,0.0,3,3,1.75
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-02 03:49:42 UTC,1,ChatGPT (paid subscription),0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,ChatBots,0.25,Yes,0.0,"none

 ",0.0,2,4,0.25
