section,section_id,section_sis_id,submitted,attempt,"4484877: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4649635: Midway Question 06 [but this time multiple selection for the whole time the survey is available which I failed to do initially last time...]
Now that you've seen half of the course, completed the midterm exam, and gotten a sense for what Prof. Scott is trying to do with everything in the course... which of the following would you say apply to you?",1.0,"4484878: Question 02 (Week 09)
Which of these topics will your feedback address? And are your responses based on using ChatGPT or the STA130 custom NBLMChatBot?

""My feedback will be about my experience using a ChatBot for the purposes of...""

We're just looking for you to highlight particular aspects of your experience that stood out to you. The options here might not be perfect, but we're hoping they provide enough expressivity for you to give us feedback where it makes sense to you.
✌️🤞",1.0,"4484879: Question 03 (Five-Star Rating)
Rate your experience using a ChatBot in STA130 on a Five-Star scale (where 1 is negative and 5 is positive).
Did you have a good experience regarding ChatBot support in writing, using, and troubleshooting Python code; and, learning statistical, data science, and Python programming topics and concepts?",1.0,"4484880: Question 04 (Learning Support)
Regarding learning statistical, data science, and Python programming topics and concepts (as opposed to just writing, using, and troubleshooting Python code) which of the following did you find to be helpful?",1.0,"4484881: Question 05 (Focus)
Was the scope of the responses of the ChatBot appropriately constrained and sufficiently targeted on the desired information?",1.0,"4484882: Further comments or clarifications?
Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.",1.0,n correct,n incorrect,score
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 14:30:50 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I rely on ChatBots more than I previously did because of STA130",0.0,"Feedback is about my experience using ChatGPT,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association""",0.0,3,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.0,More often than not,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-08 13:36:43 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,ChatBots",0.0,More often than not,0.0,No extra comment,0.0,1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 10:17:22 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,Other online resources",0.0,Sometimes,0.0,none,0.0,3,4,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-08 08:17:47 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.0,More often than not,0.0,Maybe some more explanation about the python code during classes would help. ,0.0,4,3,3.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 05:26:27 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,Yes,0.0,very excellent！,0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 05:24:38 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Understanding simple linear regression specifications versus indicator variable specification,Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,4,0.0,"Course material: homework exercises,ChatBots",0.0,Yes,0.0,Some of the homework questions are a little difficult.😭,0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-08 04:13:40 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,Course material: homework exercises,0.0,Sometimes,0.0,None,0.0,1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-08 04:13:34 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,Course material: homework exercises,0.0,Yes,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-07 23:46:35 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,Other online resources",0.0,Sometimes,0.0,nothing,0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-07 23:28:21 UTC,1,Microsoft Copilot,0.0,I rely on ChatBots more than I previously did because of STA130,0.0,Combining the aspect of a fitted model to the data simulated above,0.0,1,1.0,ChatBots,0.0,More often than not,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-07 20:50:00 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-07 20:30:59 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130",0.0,"Specifying and simulating a simple linear regression model,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression",0.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots,Other online resources",0.0,More often than not,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-07 10:51:43 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,"Sometimes,More often than not,This feedback is for the STA130 custom NotebookLM ChatBot",0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-07 06:46:00 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,I have a higher opinion of ChatBots than I previously did because of STA130,0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots,Other online resources",0.0,More often than not,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-07 06:06:15 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,"Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,ChatBot provides efficient help but there’s some limitations that I only get few free chance:(,0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-07 04:56:30 UTC,1,ChatGPT (free tier),1.0,I'd prefer to have taken an easier R-based version of the course,0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,ChatBots,0.0,More often than not,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-07 04:00:39 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-07 01:10:59 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,Understanding simple linear regression specifications versus indicator variable specification",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.0,More often than not,0.0,NA,0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-06 23:19:42 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,Course material: Lectures and/or tutorials,1.0,More often than not,0.0,"",0.0,3,4,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-06 22:24:28 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Understanding simple linear regression specifications versus indicator variable specification,Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,4,0.0,"Course material: homework exercises,ChatBots,Other online resources",0.0,More often than not,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-06 21:07:56 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,Yes,0.0,"Nope, everything is good.",0.0,1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-06 20:31:01 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.0,Sometimes,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-06 19:43:06 UTC,1,ChatGPT (free tier),1.0,I rely on ChatBots more than I previously did because of STA130,0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,ChatBots,0.0,Sometimes,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-06 17:18:08 UTC,1,ChatGPT (free tier),1.0,I rely on ChatBots more than I previously did because of STA130,0.0,"Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained",0.0,4,0.0,"Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,N/A,0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-06 04:27:12 UTC,1,ChatGPT (paid subscription),0.0,I have a higher opinion of ChatBots than I previously did because of STA130,0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,ChatBots,0.0,Sometimes,0.0,na,0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-06 04:15:44 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,Course material: homework exercises,0.0,Sometimes,0.0,N/A,0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-05 21:55:44 UTC,1,ChatGPT (free tier),1.0,I'd prefer to have taken an easier R-based version of the course,0.0,"Feedback is about my experience using ChatGPT,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,3,0.0,ChatBots,0.0,Sometimes,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-05 21:55:14 UTC,1,ChatGPT (free tier),1.0,I have a higher opinion of ChatBots than I previously did because of STA130,0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,"Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,"",0.0,3,4,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-05 21:42:31 UTC,1,ChatGPT (paid subscription),0.0,I'm happy to be learning and building the python-oriented skills we're focussed on,0.0,"Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Understanding simple linear regression specifications versus indicator variable specification,Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots,Other online resources",0.0,Yes,0.0,gpt is good,0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-05 20:07:22 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-05 15:49:58 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,none,0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-05 15:29:09 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,"Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,"More often than not,This feedback is for the STA130 custom NotebookLM ChatBot",0.0,"I recently got back my homework 5 and there was a code problem that I did not catch when i was calculating for the p-value. I did not read it super thoroughly. Though it is partially my fault not fully understanding the code, i trusted chatgpt too much in coding for this class. Is there a better way to understand the code syntax for calculating values for this class?",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-05 14:30:11 UTC,1,ChatGPT (free tier),1.0,I rely on ChatBots more than I previously did because of STA130,0.0,"Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Understanding simple linear regression specifications versus indicator variable specification,Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,ChatBots",0.0,More often than not,0.0,I hope to have more relationship with the real world questions.,0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-05 04:28:37 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,ChatBots,0.0,Sometimes,0.0,"",0.0,3,4,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-05 03:16:07 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,ChatBots,0.0,No,1.0,"",0.0,4,3,3.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-05 03:13:58 UTC,1,ChatGPT (free tier),1.0,I have a higher opinion of ChatBots than I previously did because of STA130,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,ChatBots,0.0,Sometimes,0.0,"",0.0,2,5,1.0
